2024-05-16 00:16:12 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/swagger-resources/**'], []
2024-05-16 00:16:12 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/webjars/**'], []
2024-05-16 00:16:12 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/v2/**'], []
2024-05-16 00:16:12 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/doc.html'], []
2024-05-16 00:16:12 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/admin/user/save'], []
2024-05-16 00:16:12 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/api/oss/upload'], []
2024-05-16 00:16:12 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/api/oss/userInfo/upload'], []
2024-05-16 00:16:12 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4b76251c, org.springframework.security.web.context.SecurityContextPersistenceFilter@335896bd, org.springframework.security.web.header.HeaderWriterFilter@67d180e4, org.springframework.web.filter.CorsFilter@20c283b4, org.springframework.security.web.authentication.logout.LogoutFilter@127d2aee, com.house.agents.security.TokenAuthenticationFilter@366b4a7b, com.house.agents.security.TokenLoginFilter@a251135, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@666b91db, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1325f967, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@70819ba8, org.springframework.security.web.session.SessionManagementFilter@1293f8d7, org.springframework.security.web.access.ExceptionTranslationFilter@7096d451, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@446a5aa5]
2024-05-16 00:16:13 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8888"]
2024-05-16 00:16:13 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8888 (http) with context path ''
2024-05-16 00:16:13 |INFO  |main |RefreshScopeRefreshedEventListener.java:70 |com.ulisesbocchio.jasyptspringboot.caching.RefreshScopeRefreshedEventListener |Refreshing cached encryptable property sources on ServletWebServerInitializedEvent
2024-05-16 00:16:13 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source systemProperties refreshed
2024-05-16 00:16:13 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source systemEnvironment refreshed
2024-05-16 00:16:13 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source random refreshed
2024-05-16 00:16:13 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source applicationConfig: [classpath:/application.yaml] refreshed
2024-05-16 00:16:13 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2024-05-16 00:16:13 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2024-05-16 00:16:13 |INFO  |main |EncryptablePropertySourceConverter.java:110 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Converting PropertySource servletContextInitParams [org.springframework.web.context.support.ServletContextPropertySource] to EncryptableEnumerablePropertySourceWrapper
2024-05-16 00:16:13 |INFO  |main |DocumentationPluginsBootstrapper.java:160 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2024-05-16 00:16:13 |INFO  |main |DocumentationPluginsBootstrapper.java:163 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 2 custom documentation plugin(s)
2024-05-16 00:16:13 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2024-05-16 00:16:13 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: saveUsingPOST_1
2024-05-16 00:16:13 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: removeByIdUsingDELETE_1
2024-05-16 00:16:13 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: doAssignUsingPUT_1
2024-05-16 00:16:13 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getAssignUsingGET_1
2024-05-16 00:16:13 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2024-05-16 00:16:13 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: deleteFileUsingDELETE_1
2024-05-16 00:16:13 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: uploadUsingPOST_1
2024-05-16 00:16:13 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: uploadAvatarUsingPOST_1
2024-05-16 00:16:13 |INFO  |main |StartupInfoLogger.java:61 |com.house.agents.HouseApplication |Started HouseApplication in 8.879 seconds (JVM running for 10.95)
2024-05-16 00:16:27 |INFO  |http-nio-8888-exec-2 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
