2023-12-14 23:12:52 |INFO  |http-nio-8888-exec-2 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 10 ms
2023-12-14 23:15:28 |INFO  |http-nio-8888-exec-3 |TokenAuthenticationFilter.java:43 |com.house.agents.security.TokenAuthenticationFilter |uri:/admin/user/login
2023-12-14 23:15:28 |INFO  |http-nio-8888-exec-3 |HikariDataSource.java:110 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Starting...
2023-12-14 23:15:29 |INFO  |http-nio-8888-exec-3 |HikariDataSource.java:123 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Start completed.
2023-12-14 23:37:39 |INFO  |http-nio-8888-exec-4 |TokenAuthenticationFilter.java:43 |com.house.agents.security.TokenAuthenticationFilter |uri:/admin/user/login
2023-12-14 23:37:53 |INFO  |http-nio-8888-exec-5 |TokenAuthenticationFilter.java:43 |com.house.agents.security.TokenAuthenticationFilter |uri:/admin/user/login
2023-12-14 23:38:39 |INFO  |http-nio-8888-exec-9 |TokenAuthenticationFilter.java:43 |com.house.agents.security.TokenAuthenticationFilter |uri:/admin/user/login
2023-12-14 23:39:11 |INFO  |http-nio-8888-exec-1 |TokenAuthenticationFilter.java:43 |com.house.agents.security.TokenAuthenticationFilter |uri:/admin/house/import
2023-12-14 23:40:11 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:218 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2023-12-14 23:40:11 |INFO  |SpringContextShutdownHook |HikariDataSource.java:350 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Shutdown initiated...
2023-12-14 23:40:11 |INFO  |SpringContextShutdownHook |HikariDataSource.java:352 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Shutdown completed.
2023-12-14 23:40:18 |INFO  |main |StartupInfoLogger.java:55 |com.house.agents.HouseApplication |Starting HouseApplication on DESKTOP-TOIK954 with PID 25032 (E:\OneDrive\AtGuiGu\JavaDevelop\houseAgents\system-service\target\classes started by wswxg in E:\OneDrive\AtGuiGu\JavaDevelop\houseAgents)
2023-12-14 23:40:18 |INFO  |main |SpringApplication.java:655 |com.house.agents.HouseApplication |The following profiles are active: dev
2023-12-14 23:40:19 |INFO  |main |RepositoryConfigurationDelegate.java:249 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-14 23:40:19 |INFO  |main |RepositoryConfigurationDelegate.java:127 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-14 23:40:19 |INFO  |main |RepositoryConfigurationDelegate.java:187 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Finished Spring Data repository scanning in 36ms. Found 0 Redis repository interfaces.
2023-12-14 23:40:19 |INFO  |main |EnableEncryptablePropertiesBeanFactoryPostProcessor.java:44 |com.ulisesbocchio.jasyptspringboot.configuration.EnableEncryptablePropertiesBeanFactoryPostProcessor |Post-processing PropertySource instances
2023-12-14 23:40:19 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2023-12-14 23:40:19 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
